d,h,od,dit,prd
6,6,Versailles-Cht-PtAuteuil,30.0,0
6,6,Versailles-Cht-PtChatillon,35.5,0
6,7,PontNeuilly-StGermainLay,28.5,0
6,7,PtAuteuil-StGermainLay,41.5,0
6,7,PtAuteuil-Versailles-Cht,34.5,0
6,7,PtChatillon-Versailles-Cht,46.8,0
6,7,StGermainLay-PontNeuilly,39.0,0
6,7,StGermainLay-PtAuteuil,62.0,0
6,7,Versailles-Cht-PtAuteuil,43.5,0
6,7,Versailles-Cht-PtChatillon,69.2,0
6,8,PontNeuilly-StGermainLay,34.8,0
6,8,PtAuteuil-StGermainLay,54.5,0
6,8,PtAuteuil-Versailles-Cht,37.8,0
6,8,PtChatillon-Versailles-Cht,61.0,0
6,8,StGermainLay-PontNeuilly,47.0,0
6,8,StGermainLay-PtAuteuil,74.0,0
6,8,Versailles-Cht-PtAuteuil,53.8,0
6,8,Versailles-Cht-PtChatillon,76.5,0
6,9,PontNeuilly-StGermainLay,30.2,0
6,9,PtAuteuil-StGermainLay,45.8,0
6,9,PtAuteuil-Versailles-Cht,35.2,0
6,9,PtChatillon-Versailles-Cht,39.5,0
6,9,StGermainLay-PontNeuilly,39.2,0
6,9,StGermainLay-PtAuteuil,60.8,0
6,9,Versailles-Cht-PtAuteuil,47.2,0
6,9,Versailles-Cht-PtChatillon,52.2,0
6,10,PontNeuilly-StGermainLay,26.0,1
6,10,PtAuteuil-StGermainLay,37.2,1
6,10,PtAuteuil-Versailles-Cht,32.5,1
6,10,PtChatillon-Versailles-Cht,36.2,1
6,10,StGermainLay-PontNeuilly,24.2,1
6,10,StGermainLay-PtAuteuil,45.0,1
6,10,Versailles-Cht-PtAuteuil,41.2,1
6,10,Versailles-Cht-PtChatillon,51.8,1
6,11,PontNeuilly-StGermainLay,24.0,1
6,11,PtAuteuil-StGermainLay,35.0,1
6,11,PtAuteuil-Versailles-Cht,33.5,1
6,11,PtChatillon-Versailles-Cht,37.2,1
6,11,StGermainLay-PontNeuilly,20.8,1
6,11,StGermainLay-PtAuteuil,40.5,1
6,11,Versailles-Cht-PtAuteuil,35.8,1
6,11,Versailles-Cht-PtChatillon,45.2,1
6,12,PontNeuilly-StGermainLay,24.5,1
6,12,PtAuteuil-StGermainLay,35.0,1
6,12,PtAuteuil-Versailles-Cht,33.5,1
6,12,PtChatillon-Versailles-Cht,37.8,1
6,12,StGermainLay-PontNeuilly,18.8,1
6,12,StGermainLay-PtAuteuil,35.5,1
6,12,Versailles-Cht-PtAuteuil,32.5,1
6,12,Versailles-Cht-PtChatillon,41.5,1
6,13,PontNeuilly-StGermainLay,23.0,1
6,13,PtAuteuil-StGermainLay,34.0,1
6,13,PtAuteuil-Versailles-Cht,33.0,1
6,13,PtChatillon-Versailles-Cht,38.0,1
6,13,StGermainLay-PontNeuilly,19.0,1
6,13,StGermainLay-PtAuteuil,34.5,1
6,13,Versailles-Cht-PtAuteuil,31.0,1
6,13,Versailles-Cht-PtChatillon,43.5,1
6,14,PontNeuilly-StGermainLay,23.2,1
6,14,PtAuteuil-StGermainLay,34.8,1
6,14,PtAuteuil-Versailles-Cht,35.5,1
6,14,PtChatillon-Versailles-Cht,39.5,1
6,14,StGermainLay-PontNeuilly,18.8,1
6,14,StGermainLay-PtAuteuil,34.8,1
6,14,Versailles-Cht-PtAuteuil,30.5,1
6,14,Versailles-Cht-PtChatillon,43.5,1
6,15,PontNeuilly-StGermainLay,25.2,1
6,15,PtAuteuil-StGermainLay,37.5,1
6,15,PtAuteuil-Versailles-Cht,38.0,1
6,15,PtChatillon-Versailles-Cht,38.8,1
6,15,StGermainLay-PontNeuilly,19.0,1
6,15,StGermainLay-PtAuteuil,34.0,1
6,15,Versailles-Cht-PtAuteuil,31.2,1
6,15,Versailles-Cht-PtChatillon,46.5,1
6,16,PontNeuilly-StGermainLay,31.5,2
6,16,PtAuteuil-StGermainLay,47.5,2
6,16,PtAuteuil-Versailles-Cht,41.2,2
6,16,PtChatillon-Versailles-Cht,46.5,2
6,16,StGermainLay-PontNeuilly,19.8,2
6,16,StGermainLay-PtAuteuil,37.5,2
6,16,Versailles-Cht-PtAuteuil,32.2,2
6,16,Versailles-Cht-PtChatillon,54.2,2
6,17,PontNeuilly-StGermainLay,40.5,2
6,17,PtAuteuil-StGermainLay,57.8,2
6,17,PtAuteuil-Versailles-Cht,48.5,2
6,17,PtChatillon-Versailles-Cht,54.8,2
6,17,StGermainLay-PontNeuilly,20.8,2
6,17,StGermainLay-PtAuteuil,40.0,2
6,17,Versailles-Cht-PtAuteuil,37.5,2
6,17,Versailles-Cht-PtChatillon,56.2,2
6,18,PontNeuilly-StGermainLay,36.2,2
6,18,PtAuteuil-StGermainLay,53.0,2
6,18,PtAuteuil-Versailles-Cht,41.0,2
6,18,PtChatillon-Versailles-Cht,47.8,2
6,18,StGermainLay-PontNeuilly,20.5,2
6,18,StGermainLay-PtAuteuil,42.5,2
6,18,Versailles-Cht-PtAuteuil,36.0,2
6,18,Versailles-Cht-PtChatillon,54.0,2
6,19,PontNeuilly-StGermainLay,29.2,2
6,19,PtAuteuil-StGermainLay,54.5,2
6,19,PtAuteuil-Versailles-Cht,42.8,2
6,19,PtChatillon-Versailles-Cht,46.8,2
6,19,StGermainLay-PontNeuilly,19.5,2
6,19,StGermainLay-PtAuteuil,43.0,2
6,19,Versailles-Cht-PtAuteuil,35.2,2
6,19,Versailles-Cht-PtChatillon,47.0,2
6,20,PontNeuilly-StGermainLay,22.0,-1
6,20,PtAuteuil-StGermainLay,47.5,-1
6,20,PtAuteuil-Versailles-Cht,35.0,-1
6,20,PtChatillon-Versailles-Cht,38.2,-1
6,20,StGermainLay-PontNeuilly,18.0,-1
6,20,StGermainLay-PtAuteuil,37.2,-1
6,20,Versailles-Cht-PtAuteuil,30.0,-1
6,20,Versailles-Cht-PtChatillon,35.8,-1
6,21,PontNeuilly-StGermainLay,19.5,-1
6,21,PtAuteuil-StGermainLay,36.2,-1
6,21,PtAuteuil-Versailles-Cht,28.8,-1
6,21,PtChatillon-Versailles-Cht,36.0,-1
6,21,StGermainLay-PontNeuilly,18.0,-1
6,21,StGermainLay-PtAuteuil,33.0,-1
6,21,Versailles-Cht-PtAuteuil,27.8,-1
6,21,Versailles-Cht-PtChatillon,32.8,-1
7,6,PontNeuilly-StGermainLay,19.8,0
7,6,PtAuteuil-StGermainLay,25.8,0
7,6,PtAuteuil-Versailles-Cht,27.2,0
7,6,PtChatillon-Versailles-Cht,30.5,0
7,6,StGermainLay-PontNeuilly,18.2,0
7,6,StGermainLay-PtAuteuil,34.5,0
7,6,Versailles-Cht-PtAuteuil,27.0,0
7,6,Versailles-Cht-PtChatillon,33.0,0
7,7,PontNeuilly-StGermainLay,24.8,0
7,7,PtAuteuil-StGermainLay,30.8,0
7,7,PtAuteuil-Versailles-Cht,32.2,0
7,7,PtChatillon-Versailles-Cht,35.8,0
7,7,StGermainLay-PontNeuilly,22.0,0
7,7,StGermainLay-PtAuteuil,42.2,0
7,7,Versailles-Cht-PtAuteuil,34.0,0
7,7,Versailles-Cht-PtChatillon,45.0,0
7,8,PontNeuilly-StGermainLay,27.5,0
7,8,PtAuteuil-StGermainLay,36.2,0
7,8,PtAuteuil-Versailles-Cht,36.8,0
7,8,PtChatillon-Versailles-Cht,40.2,0
7,8,StGermainLay-PontNeuilly,22.5,0
7,8,StGermainLay-PtAuteuil,41.0,0
7,8,Versailles-Cht-PtAuteuil,37.5,0
7,8,Versailles-Cht-PtChatillon,46.2,0
7,9,PontNeuilly-StGermainLay,24.5,0
